City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,2.3,overcast clouds
80,Bandarbeyla,SO,9.4942,50.8122,76.55,82,65,26.55,broken clouds
81,Avarua,CK,-21.2078,-159.775,78.85,69,20,12.66,few clouds
82,Baijiantan,CN,45.6333,85.1833,79.65,25,18,5.82,few clouds
83,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.28,81,20,13.09,few clouds
84,Baykit,RU,61.67,96.37,59.95,84,96,1.3,overcast clouds
85,Adrar,MR,20.5022,-10.0711,86.95,20,9,10.8,clear sky
86,Kruisfontein,ZA,-34.0033,24.7314,50.88,86,100,7.45,overcast clouds
87,Mehamn,NO,71.0357,27.8492,58.08,66,10,7.94,clear sky
88,Ayagoz,KZ,47.9714,80.4392,66.7,41,61,7.18,broken clouds
89,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,6.91,broken clouds
90,Hambantota,LK,6.1241,81.1185,78.4,81,95,15.57,overcast clouds
91,Launceston,AU,-41.45,147.1667,50.81,98,90,8.05,overcast clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,70.56,88,43,5.99,scattered clouds
93,Port Blair,IN,11.6667,92.75,81.81,84,100,10.42,overcast clouds
94,Hami,CN,42.8,93.45,80.08,29,100,4.12,overcast clouds
95,Tiksi,RU,71.6872,128.8694,51.08,71,62,4.29,broken clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,83,8,24.58,clear sky
97,Severo-Kurilsk,RU,50.6789,156.125,56.34,84,62,12.26,broken clouds
98,Tilichiki,RU,60.4667,166.1,60.19,46,77,14.72,broken clouds
99,Geraldton,AU,-28.7667,114.6,61.21,94,90,10.36,overcast clouds
100,Mount Gambier,AU,-37.8333,140.7667,49.91,81,40,9.22,scattered clouds
101,Provideniya,RU,64.3833,-173.3,51.91,66,40,15.66,scattered clouds
102,Hamilton,US,39.1834,-84.5333,86.56,62,24,3,few clouds
