City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tchollire,CM,2021-08-07 20:30:45,8.4022,14.1698,70.05,95,85,3.47
1,San Borja,BO,2021-08-07 20:30:46,-14.8167,-66.85,92.14,24,0,4.85
2,Saint George,US,2021-08-07 20:28:20,37.1041,-113.5841,98.64,11,1,1.99
3,Nha Trang,VN,2021-08-07 20:29:08,12.25,109.1833,84.2,74,100,5.79
4,Odweyne,SO,2021-08-07 20:30:46,9.4092,45.064,78.76,43,81,17.47
5,Sangin,AF,2021-08-07 20:30:47,32.0728,64.8359,85.42,12,0,2.95
6,Saskylakh,RU,2021-08-07 20:30:47,71.9167,114.0833,50.86,74,100,9.06
7,Lompoc,US,2021-08-07 20:30:48,34.6391,-120.4579,82.22,65,1,14.97
8,Pevek,RU,2021-08-07 20:30:48,69.7008,170.3133,41.95,74,27,4.85
9,Ribeira Grande,PT,2021-08-07 20:30:49,38.5167,-28.7,72.0,60,40,8.05
10,Anadyr,RU,2021-08-07 20:30:49,64.75,177.4833,46.9,81,75,11.18
11,Vaini,TO,2021-08-07 20:28:05,-21.2,-175.2,68.16,77,40,5.75
12,Hermanus,ZA,2021-08-07 20:30:50,-34.4187,19.2345,51.91,75,94,1.19
13,Tuktoyaktuk,CA,2021-08-07 20:30:50,69.4541,-133.0374,44.6,81,90,13.8
14,Sinnamary,GF,2021-08-07 20:30:50,5.3833,-52.95,80.17,84,99,4.97
15,Hobart,AU,2021-08-07 20:27:15,-42.8794,147.3294,35.26,89,75,3.0
16,Punta Arenas,CL,2021-08-07 20:30:51,-53.15,-70.9167,35.71,80,0,23.02
17,Atuona,PF,2021-08-07 20:29:52,-9.8,-139.0333,76.87,83,88,16.15
18,Butaritari,KI,2021-08-07 20:30:51,3.0707,172.7902,82.27,68,12,14.54
19,Geraldton,AU,2021-08-07 20:30:52,-28.7667,114.6,61.21,94,40,9.22
20,Cape Town,ZA,2021-08-07 20:30:52,-33.9258,18.4232,52.21,93,90,5.75
21,San Patricio,US,2021-08-07 20:30:53,28.017,-97.5169,95.41,46,0,17.6
22,Mareeba,AU,2021-08-07 20:30:53,-17.0,145.4333,63.48,90,95,2.86
23,Torbay,CA,2021-08-07 20:30:53,47.6666,-52.7314,73.89,73,75,25.32
24,Longyearbyen,SJ,2021-08-07 20:30:54,78.2186,15.6401,46.24,76,75,11.5
25,Bengkulu,ID,2021-08-07 20:30:54,-3.8004,102.2655,75.67,91,11,3.89
26,Jamestown,US,2021-08-07 20:28:21,42.097,-79.2353,80.19,74,75,3.0
27,Upernavik,GL,2021-08-07 20:26:10,72.7868,-56.1549,40.86,95,100,9.15
28,Makakilo City,US,2021-08-07 20:30:55,21.3469,-158.0858,82.72,58,75,10.36
29,Hasaki,JP,2021-08-07 20:30:55,35.7333,140.8333,77.4,90,100,16.89
30,Bharatpur,IN,2021-08-07 20:30:55,27.2167,77.4833,83.97,80,99,4.81
31,Souillac,MU,2021-08-07 20:30:56,-20.5167,57.5167,70.36,78,40,8.05
32,Coquimbo,CL,2021-08-07 20:30:56,-29.9533,-71.3436,60.53,63,40,11.5
33,Kruisfontein,ZA,2021-08-07 20:30:57,-34.0033,24.7314,55.44,62,100,4.81
34,Albany,US,2021-08-07 20:30:57,42.6001,-73.9662,86.81,72,99,2.86
35,Khatanga,RU,2021-08-07 20:30:58,71.9667,102.5,49.53,72,49,7.09
36,Saint-Philippe,RE,2021-08-07 20:30:58,-21.3585,55.7679,71.15,78,37,12.1
37,Iqaluit,CA,2021-08-07 20:30:58,63.7506,-68.5145,51.53,58,75,18.41
38,Pimentel,PE,2021-08-07 20:30:59,-6.8367,-79.9342,71.89,77,40,3.0
39,Mumford,GH,2021-08-07 20:27:09,5.2618,-0.759,76.37,85,61,17.74
40,Carnarvon,AU,2021-08-07 20:30:59,-24.8667,113.6333,66.27,90,40,8.05
41,Yanai,JP,2021-08-07 20:31:00,33.9667,132.1167,80.6,92,78,1.66
42,Straumen,NO,2021-08-07 20:31:00,63.8709,11.2999,64.4,66,97,6.31
43,Bredasdorp,ZA,2021-08-07 20:31:01,-34.5322,20.0403,51.28,93,100,2.3
44,Ushuaia,AR,2021-08-07 20:29:03,-54.8,-68.3,29.86,93,100,35.68
45,Hilo,US,2021-08-07 20:28:10,19.7297,-155.09,82.26,73,75,10.36
46,Saint-Pierre,RE,2021-08-07 20:30:27,-21.3393,55.4781,71.24,76,20,4.61
47,Xapuri,BR,2021-08-07 20:31:01,-10.6517,-68.5044,95.65,22,0,2.51
48,Wewak,PG,2021-08-07 20:30:55,-3.5534,143.6268,76.6,89,99,4.88
49,Atambua,ID,2021-08-07 20:31:02,-9.1061,124.8925,65.61,81,42,6.11
50,Mataura,NZ,2021-08-07 20:31:02,-46.1927,168.8643,34.48,98,100,0.98
51,Avarua,CK,2021-08-07 20:31:03,-21.2078,-159.775,78.85,69,20,4.61
52,Chokurdakh,RU,2021-08-07 20:31:03,70.6333,147.9167,55.69,51,46,6.31
53,Astoria,US,2021-08-07 20:31:03,46.1879,-123.8313,71.87,94,90,1.99
54,Noumea,NC,2021-08-07 20:27:29,-22.2763,166.4572,57.18,69,100,5.61
55,Mar Del Plata,AR,2021-08-07 20:30:27,-38.0023,-57.5575,60.82,55,20,8.05
56,Darhan,MN,2021-08-07 20:28:40,49.4867,105.9228,57.2,80,63,1.23
57,Rikitea,PF,2021-08-07 20:31:04,-23.1203,-134.9692,73.99,80,15,13.67
58,Nizhniy Kuranakh,RU,2021-08-07 20:31:05,58.8353,125.4869,58.24,90,34,3.33
59,Lima,PE,2021-08-07 20:29:18,-12.0432,-77.0282,62.85,68,90,10.36
